73,17,60,4.5,73,8,70,9,69,15
73,17,60,13,87,14,70,16,85,15
80,18,87,16,93,16,70,11,100,15
87,13,80,4,93,8,85,10,92,14
73,12,67,8,87,13,75,12,77,16
67,9,73,2,87,12,65,8,69,8
80,10,80,12,100,13,75,10,100,17
100,20,93,17.5,100,15,90,16,100,19
80,17,73,16.5,80,14,80,18,92,18
80,14,80,3,87,12,80,11,62,17
87,17,80,17,93,18,75,17,85,18
53,11,80,12.5,73,11,70,8,77,11
93,16,93,9,93,15,80,13,100,19
27,9,80,5,73,11,60,10,54,18
93,17,87,17,100,14,85,11,100,16
73,9,53,8,53,12,60,8,85,10
100,17,80,18,100,14,95,19,92,20
93,14,87,19,100,19,90,16,85,19
87,10,67,10,93,15,70,11,69,18
93,17,100,14.5,100,16,100,15,100,17
93,13,87,14,93,14,85,12,92,14
100,19,93,19.5,100,18,95,18,100,20
87,13,80,13,87,18,80,16,92,14
93,13,80,8.5,100,15,75,10,100,15
60,0,73,0,67,0,65,0,62,0
67,11,80,13,87,17,75,9,92,11
67,16,80,16,80,14,65,15,62,12
100,16,87,19.5,100,18,85,14,92,19
60,16,93,16,87,17,85,15,85,19
93,14,93,15.5,93,13,80,13,100,19
100,18,100,14,100,15,100,13,100,14
87,16,100,16,93,15,100,11,77,16
73,11,60,8.5,87,13,65,10,77,13
100,17,73,15.5,80,18,85,16,85,16
27,0,7,0,33,0,20,0,23,0
93,19,87,19.5,93,20,80,18,92,20
80,8,80,9.5,80,10,70,9,77,16
100,15,100,15.5,100,18,100,14,100,19
67,11,67,17.5,93,18,85,13,46,14
87,18,80,16.5,93,19,80,17,92,16
100,17,87,15,100,19,95,16,100,18
87,15,87,19.5,100,14,85,10,100,16
73,9,87,14,87,13,70,6,77,11
60,14,87,15.5,80,15,70,12,85,15
100,18,87,19.5,100,17,95,18,100,19
73,12,80,11.5,93,15,70,15,100,14
93,17,87,18,87,13,85,16,92,19
80,14,67,13.5,87,11,80,9,69,15
80,14,87,17,93,16,65,15,92,15
87,16,80,13.5,87,17,80,18,92,17
73,18,67,9,87,17,70,15,77,16
100,15,93,15.5,93,17,85,17,100,20
53,13,87,10.5,80,13,85,11,77,13
73,17,73,10.5,80,15,60,14,77,17
73,12,73,13,87,16,90,11,100,15
67,16,87,11,100,17,70,8,69,16
100,20,87,18.5,93,18,95,15,100,19
53,12,67,8.5,87,16,60,10,77,17
73,15,73,16,87,17,80,15,92,18
53,8,87,6.5,93,12,55,8,77,14
87,19,80,19,100,18,75,13,85,15
73,16,80,10,67,18,75,15,77,15
87,19,80,17,87,14,95,15,100,16
100,18,93,19.5,100,15,95,17,92,16
7,0,0,0,0,0,0,0,15,0
100,19,87,15.5,93,18,95,15,100,17
87,16,80,13.5,87,15,80,9,85,16
100,19,87,19.5,100,20,95,14,100,20
73,20,67,8,93,15,75,12,77,17
87,11,73,10,100,12,75,8,85,11
87,14,87,6,87,9,90,8,85,12
67,9,60,10.5,87,9,65,8,69,13
60,11,60,7,93,11,60,8,92,8
80,19,73,10.5,93,16,75,17,77,20
60,17,73,13,73,15,60,12,77,15
87,15,80,7.5,100,15,75,10,92,10
80,13,67,16.5,80,17,75,14,85,16
